Name,Image,Known For
Uma Thurman,"<img src=""https://image.tmdb.org/t/p/w500/lg04iEqT6TC40H1jz10Z99OFMXx.jpg"" width=""300"">","Known for Pulp Fiction, Red, White & Royal Blue, and Kill Bill: Vol. 1"
Claire Forlani,"<img src=""https://image.tmdb.org/t/p/w500/4xy9tARkNN3nAnDhHvMSeEt18mz.jpg"" width=""300"">","Known for Meet Joe Black, Five Feet Apart, and The Rock"
So Ji-sub,"<img src=""https://image.tmdb.org/t/p/w500/oEdXNo3ohtldtIW6DMFPpvMYW4g.jpg"" width=""300"">","Known for Alienoid, Alienoid: Return to the Future, and Be with You"
Naomi Scott,"<img src=""https://image.tmdb.org/t/p/w500/d140yTWCle6rYUGE9GIVZVPaPng.jpg"" width=""300"">","Known for Smile 2, Charlie's Angels, and The Martian"
Travis Fimmel,"<img src=""https://image.tmdb.org/t/p/w500/i6wEoE9P6PgYe75g6QT8Y7JjX6n.jpg"" width=""300"">","Known for Rust, Warcraft, and Kandahar"
Terry Crews,"<img src=""https://image.tmdb.org/t/p/w500/pxTY4SglLo5hFcMH00MxPeC5u55.jpg"" width=""300"">","Known for Deadpool 2, White Chicks, and Norbit"
Willem Dafoe,"<img src=""https://image.tmdb.org/t/p/w500/ui8e4sgZAwMPi3hzEO53jyBJF9B.jpg"" width=""300"">","Known for The Legend of Ochi, Spider-Man: No Way Home, and The Phoenician Scheme"
Cha Eun-woo,"<img src=""https://image.tmdb.org/t/p/w500/kZUO2s2ZsBRYZ8acu0wMzlGHpRS.jpg"" width=""300"">","Known for The Great Battle, Decibel, and My Brilliant Life"
Lena Headey,"<img src=""https://image.tmdb.org/t/p/w500/5SL4Y4alOYF9EahObfsb6GaDHg4.jpg"" width=""300"">","Known for 300, 300: Rise of an Empire, and The Purge"
Hayden Christensen,"<img src=""https://image.tmdb.org/t/p/w500/hqEgJYEUvZvL9ytmmiYBbbt63qd.jpg"" width=""300"">","Known for Star Wars: The Rise of Skywalker, Star Wars: Episode III - Revenge of the Sith, and Virgin Territory"
Domhnall Gleeson,"<img src=""https://image.tmdb.org/t/p/w500/uDbwncuKlqL0fAuucXSvgakJDrc.jpg"" width=""300"">","Known for Echo Valley, Fountain of Youth, and Star Wars: The Last Jedi"
Min Do-yoon,"<img src=""https://image.tmdb.org/t/p/w500/bHHn3krbHyxQIWb4JbHkPlV6Uu1.jpg"" width=""300"">","Known for Boarding House: Their Moans 2, Couple Exchange, and True Education for Cheating Sister-in-law"
Gillian Anderson,"<img src=""https://image.tmdb.org/t/p/w500/60fOJNhmfEmyskQDmHStSMHRjgK.jpg"" width=""300"">","Known for TRON: Ares, The X-Files, and Johnny English Reborn"
Arnold Schwarzenegger,"<img src=""https://image.tmdb.org/t/p/w500/2marNcjIfCUE5Z2HyrcEiJHPbsA.jpg"" width=""300"">","Known for Predator, The Terminator, and Terminator 2: Judgment Day"
Cemre Baysel,"<img src=""https://image.tmdb.org/t/p/w500/boFPytgGcEop9vbJcltNgjEEfPi.jpg"" width=""300"">",Known for Aşk Filmi
Hee-jeong,"<img src=""https://image.tmdb.org/t/p/w500/m6AScRlyNLlRbVr0i7xod90eVFQ.jpg"" width=""300"">","Known for Mom's Friend, My Friend's Wife, and The Story of Ong-nyeo"
Felix Mallard,"<img src=""https://image.tmdb.org/t/p/w500/d4t966dq1GMfXTsqbPHBMjb0YZ2.jpg"" width=""300"">","Known for Turtles All the Way Down, All the Bright Places, and Nest"
Anthony Hopkins,"<img src=""https://image.tmdb.org/t/p/w500/cbFWUHhk6pZKTEm48OKVM5awNNn.jpg"" width=""300"">","Known for Thor: Ragnarok, Locked, and Mission: Impossible II"
Tyler Hynes,"<img src=""https://image.tmdb.org/t/p/w500/lNULTF6zROuJ1njgTLRMN6dgg4X.jpg"" width=""300"">","Known for Immortals, Three Wise Men and a Baby, and Always Amore"
Rose Byrne,"<img src=""https://image.tmdb.org/t/p/w500/6YauDiiTBwRGC1xnwspPmNvPWUu.jpg"" width=""300"">","Known for 28 Weeks Later, Troy, and Insidious: The Red Door"
Jamie Lee Curtis,"<img src=""https://image.tmdb.org/t/p/w500/hOQXeDjTlPoTKc0TvJuNue7ZIuG.jpg"" width=""300"">","Known for Borderlands, Everything Everywhere All at Once, and Knives Out"
Forest Whitaker,"<img src=""https://image.tmdb.org/t/p/w500/4w7l5JUwnwFNBy7J93ZwYN1nihm.jpg"" width=""300"">","Known for Havoc, Arrival, and Black Panther"
Jack O'Connell,"<img src=""https://image.tmdb.org/t/p/w500/tCzR4clrIkbkijuJBYsNoEuwRDa.jpg"" width=""300"">","Known for Sinners, 28 Years Later, and 300: Rise of an Empire"
Dylan Wang,"<img src=""https://image.tmdb.org/t/p/w500/ctOiPkhzcogZNdGgOLxEIrpy4Ny.jpg"" width=""300"">","Known for Look Up and See Joy, Per Aspera Ad Astra, and I Dreamed a Dream"
Shemar Moore,"<img src=""https://image.tmdb.org/t/p/w500/epkv0UiwrPfCK3c0sHemSMi2jeh.jpg"" width=""300"">","Known for Sonic the Hedgehog 3, Sonic the Hedgehog 2, and Justice League Dark: Apokolips War"
Don Lee,"<img src=""https://image.tmdb.org/t/p/w500/zt1vx7FesNA4x6mTZtyzu2uco8E.jpg"" width=""300"">","Known for The Roundup: Punishment, Holy Night: Demon Hunters, and Train to Busan"
Vanessa Kirby,"<img src=""https://image.tmdb.org/t/p/w500/a8a9U00KL2JJkkekzhNnueIGKKF.jpg"" width=""300"">","Known for Mission: Impossible - Fallout, Mission: Impossible - Dead Reckoning Part One, and Fast & Furious Presents: Hobbs & Shaw"
Ester Expósito,"<img src=""https://image.tmdb.org/t/p/w500/fFUopfnowRJvp2iOIztyUu0v2a.jpg"" width=""300"">","Known for The Wailing, Venus, and Lost in the Night"
Aaron Taylor-Johnson,"<img src=""https://image.tmdb.org/t/p/w500/pFtHhih2XEaFaD3qOFyQW6q83br.jpg"" width=""300"">","Known for Kraven the Hunter, 28 Years Later, and The King's Man"
Joe Anders,"<img src=""https://image.tmdb.org/t/p/w500/mK2V5mvQolWhoukSVLXB8TCQWX6.jpg"" width=""300"">","Known for 1917, Lee, and Bonus Track"
Kat Dennings,"<img src=""https://image.tmdb.org/t/p/w500/rrfyo9z1wW5nY9ZsFlj1Ozfj9g2.jpg"" width=""300"">","Known for Thor: Love and Thunder, Thor, and Thor: The Dark World"
Rachel Zegler,"<img src=""https://image.tmdb.org/t/p/w500/ycseVLFDnnTQ9QubleZjdbrGl4r.jpg"" width=""300"">","Known for Snow White, The Hunger Games: The Ballad of Songbirds & Snakes, and Shazam! Fury of the Gods"
Dyessa Garcia,"<img src=""https://image.tmdb.org/t/p/w500/xak9L0fkIOkjSwJpz3SWLl94tVP.jpg"" width=""300"">","Known for Tuhog, Mischief, and Foursome"
Zooey Deschanel,"<img src=""https://image.tmdb.org/t/p/w500/30KQyjsXfrdm4Dcori7bDFTg9Le.jpg"" width=""300"">","Known for Bridge to Terabithia, (500) Days of Summer, and Trolls Band Together"
Sean Bean,"<img src=""https://image.tmdb.org/t/p/w500/kTjiABk3TJ3yI0Cto5RsvyT6V3o.jpg"" width=""300"">","Known for Deep Cover, The Lord of the Rings: The Fellowship of the Ring, and The Lord of the Rings: The Return of the King"
Peter Dinklage,"<img src=""https://image.tmdb.org/t/p/w500/9CAd7wr8QZyIN0E7nm8v1B6WkGn.jpg"" width=""300"">","Known for Avengers: Infinity War, Wicked, and Transformers: Rise of the Beasts"
Kriti Sanon,"<img src=""https://image.tmdb.org/t/p/w500/go8GUz7poytTvm9P9HNHQ3T84N1.jpg"" width=""300"">","Known for Crew, Teri Baaton Mein Aisa Uljha Jiya, and Adipurush"
Alice Eve,"<img src=""https://image.tmdb.org/t/p/w500/tJUSx0Cw7pCnRsCWbGTX2POiTKM.jpg"" width=""300"">","Known for Criminal, Star Trek Into Darkness, and Men in Black 3"
Krysten Ritter,"<img src=""https://image.tmdb.org/t/p/w500/iF9jsrcY39uDzJnAbi3FW056D7u.jpg"" width=""300"">","Known for Sonic the Hedgehog 3, El Camino: A Breaking Bad Movie, and She's Out of My League"
Steven Spielberg,"<img src=""https://image.tmdb.org/t/p/w500/tZxcg19YQ3e8fJ0pOs7hjlnmmr6.jpg"" width=""300"">","Known for Jaws, Indiana Jones and the Temple of Doom, and Men in Black"
Tisha Campbell,"<img src=""https://image.tmdb.org/t/p/w500/keuc8jAfEM2fRce0P8FvLclwlYg.jpg"" width=""300"">","Known for Zack and Miri Make a Porno, Little Shop of Horrors, and Boomerang"
Jennifer Love Hewitt,"<img src=""https://image.tmdb.org/t/p/w500/l9ggjks77ychiR4Pw6FUkSTux0m.jpg"" width=""300"">","Known for I Still Know What You Did Last Summer, I Know What You Did Last Summer, and Garfield"
Raymond Ablack,"<img src=""https://image.tmdb.org/t/p/w500/m8LIuaoivT2LXYkjJS4vGdEvjjy.jpg"" width=""300"">","Known for Buffaloed, The Broken Hearts Gallery, and Love in the Villa"
Wamiqa Gabbi,"<img src=""https://image.tmdb.org/t/p/w500/764FhfiyIe0DQG8mxv0z90V8Lp1.jpg"" width=""300"">","Known for Bhool Chuk Maaf, Baby John, and 83"
Cha Woo-min,"<img src=""https://image.tmdb.org/t/p/w500/3rVLU5iBMOOgu63FcQeOIYeOHsN.jpg"" width=""300"">","Known for Brave Citizen, Love Untangled, and The Tasty Florida"
Beans Morocco,"<img src=""https://image.tmdb.org/t/p/w500/wh3Bw75H4nOVxi0UKMLQn4WmMzx.jpg"" width=""300"">","Known for Blazing Saddles, New Nightmare, and Police Academy 5: Assignment Miami Beach"
Andy García,"<img src=""https://image.tmdb.org/t/p/w500/9EivXoBlczZcFBet96WOoFbDsfF.jpg"" width=""300"">","Known for Geostorm, Wrath of Man, and Expend4bles"
Taron Egerton,"<img src=""https://image.tmdb.org/t/p/w500/hHEgQFENXD43ZFwLNWsRpPWPzrs.jpg"" width=""300"">","Known for Kingsman: The Golden Circle, Sing 2, and Carry-On"
Elijah Wood,"<img src=""https://image.tmdb.org/t/p/w500/7UKRbJBNG7mxBl2QQc5XsAh6F8B.jpg"" width=""300"">","Known for The Monkey, The Lord of the Rings: The Fellowship of the Ring, and The Lord of the Rings: The Return of the King"
Nicholas Galitzine,"<img src=""https://image.tmdb.org/t/p/w500/hG4rH7eBMs117746bBOd8fUa4PA.jpg"" width=""300"">","Known for The Idea of You, Red, White & Royal Blue, and Purple Hearts"
Ramya Krishnan,"<img src=""https://image.tmdb.org/t/p/w500/7Ex7OHhtotLXOAza1VOcUplPb7O.jpg"" width=""300"">","Known for Jaat, Bāhubali: The Beginning, and Bāhubali 2: The Conclusion"
Smart Chisanupong Puangmanee,"<img src=""https://image.tmdb.org/t/p/w500/h9ln3pNMCa1MoM3Rga8RHSm06Sy.jpg"" width=""300"">",Known for Moments of Love
Yu Aoi,"<img src=""https://image.tmdb.org/t/p/w500/tgozZzaAFnOr7YQ8Y9Yk9p2e2JC.jpg"" width=""300"">","Known for All About Lily Chou-Chou, Rurouni Kenshin Part I: Origins, and Rurouni Kenshin: The Final"
Wo Chi Xihongshi,"<img src=""https://image.tmdb.org/t/p/w500/gIo8emidlFH3wmQOggn0vRUgUR5.jpg"" width=""300"">",Actor/Actress
Josh Gad,"<img src=""https://image.tmdb.org/t/p/w500/17iKlfWZBDTAucqjkhRKHr9xjIz.jpg"" width=""300"">","Known for Beauty and the Beast, Frozen, and Ghostbusters: Afterlife"
Ozan Akbaba,"<img src=""https://image.tmdb.org/t/p/w500/mDMHTxid2n3D8vm2KXuEwxylzC8.jpg"" width=""300"">","Known for Phoenix, Keep a Lid on It, and Kovala"
Michelle Monaghan,"<img src=""https://image.tmdb.org/t/p/w500/8vFh2XqTWnqKco2SGfpyQboxo4X.jpg"" width=""300"">","Known for Mission: Impossible - Fallout, Mission: Impossible - Ghost Protocol, and The Family Plan"
Christopher Walken,"<img src=""https://image.tmdb.org/t/p/w500/ApgDL7nudR9T2GpjCG4vESgymO2.jpg"" width=""300"">","Known for Dune: Part Two, Pulp Fiction, and True Romance"
Tobey Maguire,"<img src=""https://image.tmdb.org/t/p/w500/s6PwSvq6gC7PGEjIku69tPbvR8M.jpg"" width=""300"">","Known for Spider-Man: No Way Home, Spider-Man, and Spider-Man 3"
Jaimie Alexander,"<img src=""https://image.tmdb.org/t/p/w500/2lo29bgiQS6hWcLI81XkRAorKoy.jpg"" width=""300"">","Known for Thor: Love and Thunder, Thor, and Love & Other Drugs"
Kristen Wiig,"<img src=""https://image.tmdb.org/t/p/w500/N517EQh7j4mNl3BStMmjMN6hId.jpg"" width=""300"">","Known for How to Train Your Dragon, How to Train Your Dragon 2, and Despicable Me 4"
Bryan Cranston,"<img src=""https://image.tmdb.org/t/p/w500/aGSvZg7uITJveQtGHDcPNI6map1.jpg"" width=""300"">","Known for Kung Fu Panda 4, The Phoenician Scheme, and Saving Private Ryan"
Jithu Ashraf,,"Known for Officer on Duty, Iratta, and Nayattu"
Cote de Pablo,"<img src=""https://image.tmdb.org/t/p/w500/py0I61VEXUyTvjHwWffClwfl9yb.jpg"" width=""300"">","Known for The 33, The Last Rites of Ransom Pride, and Prototype"
Jason Beghe,"<img src=""https://image.tmdb.org/t/p/w500/hrTwOPWek7nkPJgFhh6inFu7vSS.jpg"" width=""300"">","Known for G.I. Jane, Thelma & Louise, and The X-Files"
Jennifer Coolidge,"<img src=""https://image.tmdb.org/t/p/w500/hcpbV0dY4ZJxmZi1WcAWe8euqV2.jpg"" width=""300"">","Known for A Minecraft Movie, American Pie, and Legally Blonde"
Hayden Panettiere,"<img src=""https://image.tmdb.org/t/p/w500/48VbU12uGcQAczOlXzazwMZcwsx.jpg"" width=""300"">","Known for Scream VI, A Bug's Life, and Remember the Titans"
Wunmi Mosaku,"<img src=""https://image.tmdb.org/t/p/w500/wy02B2JkNIgK1DCkie1A98jCY77.jpg"" width=""300"">","Known for Sinners, Deadpool & Wolverine, and Batman v Superman: Dawn of Justice"
Tyler Perry,"<img src=""https://image.tmdb.org/t/p/w500/8KU0OizemVLrERXt5HJIa0PAkIN.jpg"" width=""300"">","Known for Gone Girl, Star Trek, and PAW Patrol: The Movie"
Bradley Cooper,"<img src=""https://image.tmdb.org/t/p/w500/sQq0nft6YZmJ7EMQwPcbaxym3AL.jpg"" width=""300"">","Known for Guardians of the Galaxy Vol. 2, Avengers: Infinity War, and The Hangover"
Jessica Chastain,"<img src=""https://image.tmdb.org/t/p/w500/xRvRzxiiHhgUErl0yf9w8WariRE.jpg"" width=""300"">","Known for Interstellar, The Huntsman: Winter's War, and The Martian"
Misaki Suzuki,"<img src=""https://image.tmdb.org/t/p/w500/fDYzYvZS9sxAvDAlLd833JqpW7n.jpg"" width=""300"">",Actor/Actress
Mark Ruffalo,"<img src=""https://image.tmdb.org/t/p/w500/5GilHMOt5PAQh6rlUKZzGmaKEI7.jpg"" width=""300"">","Known for Thor: Ragnarok, Avengers: Infinity War, and Mickey 17"
James Cameron,"<img src=""https://image.tmdb.org/t/p/w500/9NAZnTjBQ9WcXAQEzZpKy4vdQto.jpg"" width=""300"">","Known for Titanic, Avatar: Creating the World of Pandora, and Superior Firepower: Making 'Aliens'"
Alyssa Milano,"<img src=""https://image.tmdb.org/t/p/w500/q5RAaX57dLvlpigAhbX3lCb2dkZ.jpg"" width=""300"">","Known for Commando, Fear, and Hall Pass"
Ty Doran,"<img src=""https://image.tmdb.org/t/p/w500/ms4W8Ch6w8c3xo1SeqdoZsUffbA.jpg"" width=""300"">",Known for Dinner Is Served and Brushstrokes
Thomas Brodie-Sangster,"<img src=""https://image.tmdb.org/t/p/w500/ovfgjgaE7aAXKYaemABX6pJFwRk.jpg"" width=""300"">","Known for The Maze Runner, Star Wars: The Force Awakens, and Maze Runner: The Scorch Trials"
Dolph Lundgren,"<img src=""https://image.tmdb.org/t/p/w500/fisJpm05tw6GCJ4v62TKBCoWuZM.jpg"" width=""300"">","Known for Aquaman and the Lost Kingdom, Creed II, and Expend4bles"
Ralph Fiennes,"<img src=""https://image.tmdb.org/t/p/w500/u29BOqiV5GCQ8k8WUJM50i9xlBf.jpg"" width=""300"">","Known for 28 Years Later, Harry Potter and the Goblet of Fire, and Harry Potter and the Order of the Phoenix"
Jodie Foster,"<img src=""https://image.tmdb.org/t/p/w500/resiaRfWvj4N84TgJi9DPOafCpq.jpg"" width=""300"">","Known for Taxi Driver, Contact, and Elysium"
Leya Kırşan,"<img src=""https://image.tmdb.org/t/p/w500/kfyJLJ1WhjHihxqsSHFnRqGucRL.jpg"" width=""300"">",Known for Tozkoparan: İskender - 1071 and Tozkoparan: Iskender - Zafer
Zhang Linghe,"<img src=""https://image.tmdb.org/t/p/w500/3Jv2t7hyaHVUYOO85ELwz3Bxe4X.jpg"" width=""300"">",Actor/Actress
Gene Hackman,"<img src=""https://image.tmdb.org/t/p/w500/xPmETCv0APDoIK5CvIIJwbTcjPA.jpg"" width=""300"">","Known for Superman, Unforgiven, and The Firm"
Rick Moranis,"<img src=""https://image.tmdb.org/t/p/w500/rVZbTJjM4g0Um6trlLHRiBzBO7t.jpg"" width=""300"">","Known for Spaceballs, Ghostbusters, and Brother Bear"
Deniz Can Aktaş,"<img src=""https://image.tmdb.org/t/p/w500/2BiYbPCAosP81e1xffLDPMvEjtI.jpg"" width=""300"">",Known for Bandırma Füze Kulübü
Ving Rhames,"<img src=""https://image.tmdb.org/t/p/w500/4gpLVNKPZlVucc4fT2fSZ7DksTK.jpg"" width=""300"">","Known for Mission: Impossible - The Final Reckoning, Lilo & Stitch, and Guardians of the Galaxy Vol. 2"
Emmy Rossum,"<img src=""https://image.tmdb.org/t/p/w500/rkvOaAeF807wta6zL1qCSqBgP0U.jpg"" width=""300"">","Known for The Day After Tomorrow, Mystic River, and Cold Pursuit"
Amrish Puri,"<img src=""https://image.tmdb.org/t/p/w500/uhMGFS7tuG71LDv2wk9LfZZ4EG6.jpg"" width=""300"">","Known for Indiana Jones and the Temple of Doom, Dilwale Dulhania Le Jayenge, and Mohabbatein"
Sam Elliott,"<img src=""https://image.tmdb.org/t/p/w500/1K2IvGXFbKsgkExuUsRvy4F0c9e.jpg"" width=""300"">","Known for Ghost Rider, The Big Lebowski, and The Good Dinosaur"
Jin Si-ah,"<img src=""https://image.tmdb.org/t/p/w500/5aM3mGtSYbOmEEJlKSdmtuiziLC.jpg"" width=""300"">","Known for Pizza Dare 1, An Affair: Kind Daughters-in-law, and Delicious Tutor"
Angelica Hart,"<img src=""https://image.tmdb.org/t/p/w500/bMohhjKqkgPKaeOmwfDoiO0uZgs.jpg"" width=""300"">","Known for Salitan, Sip, and Butas"
Colin Firth,"<img src=""https://image.tmdb.org/t/p/w500/4VBeYEUQbfhnivdkqInM36u5fda.jpg"" width=""300"">","Known for Kingsman: The Golden Circle, Kingsman: The Secret Service, and 1917"
Fan Bingbing,"<img src=""https://image.tmdb.org/t/p/w500/pV2wYJiiPd6cgHK580PKD0GM4Dc.jpg"" width=""300"">","Known for X-Men: Days of Future Past, The 355, and Flash Point"
Alexander Skarsgård,"<img src=""https://image.tmdb.org/t/p/w500/aVAPqwoElxk9O8QID96l6qG4x2E.jpg"" width=""300"">","Known for Battleship, Godzilla vs. Kong, and The Northman"
Kim Do-hee,"<img src=""https://image.tmdb.org/t/p/w500/vDK2YCaePyUO4bxTE5mbvQqdqwp.jpg"" width=""300"">","Known for What a Good Secretary Wants, Russian Mom, and Boarding House 2"
Ben Stiller,"<img src=""https://image.tmdb.org/t/p/w500/scgpxhI05JpdNXXfmpK6z0rPOWN.jpg"" width=""300"">","Known for Madagascar, Madagascar: Escape 2 Africa, and Night at the Museum"
Linda Cardellini,"<img src=""https://image.tmdb.org/t/p/w500/bcycvynDprC1rrhBNrnBjn5uOUd.jpg"" width=""300"">","Known for Avengers: Endgame, Guardians of the Galaxy Vol. 3, and The Founder"
Ewan McGregor,"<img src=""https://image.tmdb.org/t/p/w500/h7thH2xZeicwK7a3Pkr4cCzXkSu.jpg"" width=""300"">","Known for Beauty and the Beast, Star Wars: The Rise of Skywalker, and Star Wars: The Force Awakens"
Shah Rukh Khan,"<img src=""https://image.tmdb.org/t/p/w500/tCEppfUu0g2Luu0rS5VKMoL4eSw.jpg"" width=""300"">","Known for Dilwale Dulhania Le Jayenge, Mohabbatein, and Jawan"
Miku Martineau,"<img src=""https://image.tmdb.org/t/p/w500/b8zUoFdjau67wpTdbRAwql501PW.jpg"" width=""300"">","Known for Star Trek: Section 31, Honor Society, and Kate"
Adrienne Barbeau,"<img src=""https://image.tmdb.org/t/p/w500/8uQqjG63SFCkmgdFB4SG8wRQmfp.jpg"" width=""300"">","Known for The Thing, Watchmen: Chapter II, and Argo"
Martin Scorsese,"<img src=""https://image.tmdb.org/t/p/w500/9U9Y5GQuWX3EZy39B8nkk4NY01S.jpg"" width=""300"">","Known for The Wolf of Wall Street, Killers of the Flower Moon, and Taxi Driver"
Sofia Carson,"<img src=""https://image.tmdb.org/t/p/w500/aQudxuIAd2UEGQD1YWsdrHH11Kc.jpg"" width=""300"">","Known for The Life List, Carry-On, and Purple Hearts"
Chad Stahelski,"<img src=""https://image.tmdb.org/t/p/w500/eRCryGwKDH4XqUlrdkERmeBWPo8.jpg"" width=""300"">","Known for Wick Is Pain, Constantine, and V for Vendetta"
Diego Luna,"<img src=""https://image.tmdb.org/t/p/w500/1ir9E1qXmfsSTG2jQknz2tLb54E.jpg"" width=""300"">","Known for Rogue One: A Star Wars Story, The Terminal, and Elysium"
Scott Porter,"<img src=""https://image.tmdb.org/t/p/w500/uvkZrnWSwxVn3oau2BwHuvUDzcb.jpg"" width=""300"">","Known for LEGO Marvel Avengers: Mission Demolition, Dear John, and Speed Racer"
Xu Kai,"<img src=""https://image.tmdb.org/t/p/w500/wEfatQWa3v9tNtmgr5LOOmFSSJj.jpg"" width=""300"">",Known for Autumn Fairy Tale and 1921
Sebastian Stan,"<img src=""https://image.tmdb.org/t/p/w500/nKZgixTbHFXpkzzIpMFdLX98GYh.jpg"" width=""300"">","Known for Thunderbolts*, Captain America: Brave New World, and Avengers: Infinity War"
Lee Jun-young,"<img src=""https://image.tmdb.org/t/p/w500/zH8kiGox6n3FD82MKEhUq79X6gj.jpg"" width=""300"">","Known for Brave Citizen, Badland Hunters, and Love and Leashes"
Lily James,"<img src=""https://image.tmdb.org/t/p/w500/7UN8GVsDzccK9UVYzMx3hooLyzZ.jpg"" width=""300"">","Known for Cinderella, Baby Driver, and The Iron Claw"
John Stamos,"<img src=""https://image.tmdb.org/t/p/w500/5hFEsxkqI6uGa9ltX2soVqt8r1M.jpg"" width=""300"">","Known for LEGO Marvel Avengers: Mission Demolition, Femme Fatale, and My Big Fat Greek Wedding 2"
Madelyn Cline,"<img src=""https://image.tmdb.org/t/p/w500/9pVpUGJdOEmQKhJy1IPqGoVB3Q7.jpg"" width=""300"">","Known for Glass Onion: A Knives Out Mystery, I Know What You Did Last Summer, and Boy Erased"
Martin Henderson,"<img src=""https://image.tmdb.org/t/p/w500/avJFARzEPaB24rKQUYLinGQqilL.jpg"" width=""300"">","Known for X, The Ring, and Everest"
Stellan Skarsgård,"<img src=""https://image.tmdb.org/t/p/w500/x78BtYHElirO7Iw8bL4m8CnzRDc.jpg"" width=""300"">","Known for Dune: Part Two, The Avengers, and Dune"
Evan Peters,"<img src=""https://image.tmdb.org/t/p/w500/82yu3I5vSoEqnIL3GE8oB5DHehI.jpg"" width=""300"">","Known for Deadpool 2, Dark Phoenix, and X-Men: Days of Future Past"
Rob Schneider,"<img src=""https://image.tmdb.org/t/p/w500/kVHNFDOGDrC3LjDyYf5RaCd6auK.jpg"" width=""300"">","Known for Grown Ups, 50 First Dates, and Home Alone 2: Lost in New York"
Erin Moriarty,"<img src=""https://image.tmdb.org/t/p/w500/dG7gLzlZCjZkjKMyoGIL8h5wjRj.jpg"" width=""300"">","Known for Captain Fantastic, Kong: Skull Island, and Blood Father"
Ed Sheeran,"<img src=""https://image.tmdb.org/t/p/w500/w7zbWC9AV0WfIEl8L38otal7mwS.jpg"" width=""300"">","Known for Star Wars: The Rise of Skywalker, Red Notice, and Yesterday"
Jet Li,"<img src=""https://image.tmdb.org/t/p/w500/c4s8INzU0ZAujCQ1YmphCmcsNzl.jpg"" width=""300"">","Known for Mulan, The Expendables, and The Expendables 3"
Hayao Miyazaki,"<img src=""https://image.tmdb.org/t/p/w500/ouhjt9KugzhWtdEyBPipihB3ic8.jpg"" width=""300"">","Known for Mei and the Kittenbus, Hayao Miyazaki and the Heron, and The Kingdom of Dreams and Madness"
Piper Perabo,"<img src=""https://image.tmdb.org/t/p/w500/5XrzISDEox0KubRDzJU668Oxmxy.jpg"" width=""300"">","Known for The Prestige, Angel Has Fallen, and Looper"
Esra Bilgiç,"<img src=""https://image.tmdb.org/t/p/w500/rSXkPT6UfPtN1iLLaXsGWyC8nwZ.jpg"" width=""300"">","Known for Art of Love, Atatürk II 1881 – 1919, and Atatürk 1881 - 1919"
Ariana Greenblatt,"<img src=""https://image.tmdb.org/t/p/w500/xJX5ErTizvwu4NLEUgHoahysaJl.jpg"" width=""300"">","Known for Fear Street: Prom Queen, Avengers: Infinity War, and Barbie"
Vera Farmiga,"<img src=""https://image.tmdb.org/t/p/w500/5Vs7huBmTKftwlsc2BPAntyaQYj.jpg"" width=""300"">","Known for The Conjuring, The Conjuring: The Devil Made Me Do It, and The Conjuring 2"
Sarah Shahi,"<img src=""https://image.tmdb.org/t/p/w500/crKD1ax5wRRZ4QM7nQyH8K2deaA.jpg"" width=""300"">","Known for Red, White & Royal Blue, Black Adam, and Rush Hour 3"
Kıvanç Tatlıtuğ,"<img src=""https://image.tmdb.org/t/p/w500/9J4KWKollSGTAADhUVEgAm4lenx.jpg"" width=""300"">","Known for Last Call for Istanbul, Chokehold, and Money Trap"
Li Ke Yi,"<img src=""https://image.tmdb.org/t/p/w500/AtrUrzGcAuZhqxaoejaKVEsM8fF.jpg"" width=""300"">",Known for 2025爱奇艺荧光之夜
Nicholas Hoult,"<img src=""https://image.tmdb.org/t/p/w500/laeAYQVBV9U3DkJ1B4Cn1XhpT8P.jpg"" width=""300"">","Known for Superman, Deadpool 2, and Nosferatu"
Mithun Chakraborty,"<img src=""https://image.tmdb.org/t/p/w500/zohhWjk7BAPhLFcVddVSmpoR2qa.jpg"" width=""300"">","Known for Om Shanti Om, Guru, and Housefull 2"
Anna Faris,"<img src=""https://image.tmdb.org/t/p/w500/y3YKNr4qPPJZ9w4lR2a3yySKotd.jpg"" width=""300"">","Known for Scary Movie, The Dictator, and 22 Jump Street"
Dave Bautista,"<img src=""https://image.tmdb.org/t/p/w500/snk6JiXOOoRjPtHU5VMoy6qbd32.jpg"" width=""300"">","Known for In the Lost Lands, Guardians of the Galaxy Vol. 2, and Dune: Part Two"
Eiza González,"<img src=""https://image.tmdb.org/t/p/w500/9kwfAiMeRUGR6cpZyY8FCuP5MSX.jpg"" width=""300"">","Known for Fountain of Youth, Fast & Furious Presents: Hobbs & Shaw, and The Ministry of Ungentlemanly Warfare"
Rie Kugimiya,"<img src=""https://image.tmdb.org/t/p/w500/xHonhNFpTpz9zCVXLAF7D4OuHLv.jpg"" width=""300"">","Known for Batman Ninja vs. Yakuza League, Jujutsu Kaisen 0, and Ichigeki Sacchuu!! Hoihoi-san"
Gabrielle Fitzpatrick,"<img src=""https://image.tmdb.org/t/p/w500/rnaR1kCmP9ZLFiKcWoxpOG7BePG.jpg"" width=""300"">","Known for Mr. Nice Guy, Inferno, and Mighty Morphin Power Rangers: The Movie"
Lee Byung-hun,"<img src=""https://image.tmdb.org/t/p/w500/pY4pwYO8qwtzvuzpzRczDACDiVA.jpg"" width=""300"">","Known for Squid Game: Making Season 2, The Magnificent Seven, and Terminator Genisys"
