Name,Image,Known For
Will Smith,"<img src=""https://image.tmdb.org/t/p/w500/1QqaRZ8neYlqLx7ODZC4as47wUV.jpg"" width=""300"">","Known for Bad Boys: Ride or Die, Aladdin, and The Pursuit of Happyness"
Gabriel Guevara,"<img src=""https://image.tmdb.org/t/p/w500/pviRYKEEmoPUfLYwP1VHJ6LQcRg.jpg"" width=""300"">","Known for My Fault, Your Fault, and Culpa nuestra"
Jake Gyllenhaal,"<img src=""https://image.tmdb.org/t/p/w500/rJdYHYNhlcOBwbPvDZVvt1xw7bi.jpg"" width=""300"">","Known for Life, Spider-Man: Far From Home, and Prisoners"
Jackie Sandler,"<img src=""https://image.tmdb.org/t/p/w500/j9XiOUVtolVM3sWGcLCw6yQSbJV.jpg"" width=""300"">","Known for Grown Ups, Grown Ups 2, and Hotel Transylvania"
Charlize Theron,"<img src=""https://image.tmdb.org/t/p/w500/ie1KbeYFG5E0GVr1QP7tDNuXvga.jpg"" width=""300"">","Known for Doctor Strange in the Multiverse of Madness, Fast X, and The Huntsman: Winter's War"
Zoe Saldaña,"<img src=""https://image.tmdb.org/t/p/w500/aGb3JzoumA89gRFwbJYAxFm5Qdk.jpg"" width=""300"">","Known for Guardians of the Galaxy Vol. 2, Avengers: Infinity War, and Elio"
Natalie Portman,"<img src=""https://image.tmdb.org/t/p/w500/edPU5HxncLWa1YkgRPNkSd68ONG.jpg"" width=""300"">","Known for Fountain of Youth, Avengers: Endgame, and Annihilation"
Sabrina Carpenter,"<img src=""https://image.tmdb.org/t/p/w500/nxaluMAWGemjhXbUL3dhl4xof1K.jpg"" width=""300"">","Known for Tall Girl, The Hate U Give, and Horns"
Kevin Hart,"<img src=""https://image.tmdb.org/t/p/w500/byiNydUlM6oP8diA7WMvYbNM7a1.jpg"" width=""300"">","Known for Fast & Furious Presents: Hobbs & Shaw, Borderlands, and Jumanji: Welcome to the Jungle"
Morgan Freeman,"<img src=""https://image.tmdb.org/t/p/w500/jPsLqiYGSofU4s6BjrxnefMfabb.jpg"" width=""300"">","Known for The Shawshank Redemption, The Dark Knight, and Se7en"
Liam Neeson,"<img src=""https://image.tmdb.org/t/p/w500/sRLev3wJioBgun3ZoeAUFpkLy0D.jpg"" width=""300"">","Known for The Chronicles of Narnia: The Lion, the Witch and the Wardrobe, Star Wars: The Rise of Skywalker, and The Huntsman: Winter's War"
Chris Hemsworth,"<img src=""https://image.tmdb.org/t/p/w500/piQGdoIQOF3C1EI5cbYZLAW1gfj.jpg"" width=""300"">","Known for Thor: Ragnarok, Avengers: Infinity War, and The Avengers"
Nicolas Cage,"<img src=""https://image.tmdb.org/t/p/w500/ar33qcWbEgREn07ZpXv5Pbj8hbM.jpg"" width=""300"">","Known for The Surfer, Con Air, and Gunslingers"
Mason Thames,"<img src=""https://image.tmdb.org/t/p/w500/2BLyvOUZbjsH83bdpFLqFkMY7pl.jpg"" width=""300"">","Known for How to Train Your Dragon, How to Train Your Dragon 2, and The Black Phone"
Emma Myers,"<img src=""https://image.tmdb.org/t/p/w500/v1Y8RP39135ZOary9M4MbkrCAdn.jpg"" width=""300"">","Known for A Minecraft Movie, Girl in the Basement, and Family Switch"
Taraji P. Henson,"<img src=""https://image.tmdb.org/t/p/w500/jUU2X9mDwJaAniEmJOfvImBS9qb.jpg"" width=""300"">","Known for STRAW, The Karate Kid, and Hidden Figures"
Hayley Atwell,"<img src=""https://image.tmdb.org/t/p/w500/x57wXHexIjD2ywly9cRA4rov7cu.jpg"" width=""300"">","Known for Mission: Impossible - The Final Reckoning, Mission: Impossible - Dead Reckoning Part One, and Doctor Strange in the Multiverse of Madness"
Tom Hanks,"<img src=""https://image.tmdb.org/t/p/w500/eKF1sGJRrZJbfBG1KirPt1cfNd3.jpg"" width=""300"">","Known for The Phoenician Scheme, Toy Story, and Toy Story 2"
Jennifer Lawrence,"<img src=""https://image.tmdb.org/t/p/w500/k6CsASaySnS3ag0Y2Ns2vqPahVn.jpg"" width=""300"">","Known for Wick Is Pain, No Hard Feelings, and The Hunger Games: Mockingjay - Part 1"
Zendaya,"<img src=""https://image.tmdb.org/t/p/w500/3WdOloHpjtjL96uVOhFRRCcYSwq.jpg"" width=""300"">","Known for Dune: Part Two, Spider-Man: Far From Home, and Spider-Man: No Way Home"
Amanda Seyfried,"<img src=""https://image.tmdb.org/t/p/w500/gtBUIpZ3dvLpOMIVORxE6sHSyZj.jpg"" width=""300"">","Known for Mean Girls, Ted 2, and Anon"
Samuel L. Jackson,"<img src=""https://image.tmdb.org/t/p/w500/AiAYAqwpM5xmiFrAIeQvUXDCVvo.jpg"" width=""300"">","Known for xXx, Avengers: Infinity War, and Pulp Fiction"
Ryan Reynolds,"<img src=""https://image.tmdb.org/t/p/w500/l4t0lLxAKMOXG9zCHFQH4WyoQOO.jpg"" width=""300"">","Known for Deadpool & Wolverine, Life, and Fast & Furious Presents: Hobbs & Shaw"
Chris Evans,"<img src=""https://image.tmdb.org/t/p/w500/3bOGNsHlrswhyW79uvIHH1V43JI.jpg"" width=""300"">","Known for Deadpool & Wolverine, Avengers: Infinity War, and Materialists"
Cecilia Cheung,"<img src=""https://image.tmdb.org/t/p/w500/xghVxRPUmFCHYxzD0NxMO8NtoKK.jpg"" width=""300"">","Known for Shaolin Soccer, The Promise, and The Legend of Speed"
Truman Hanks,"<img src=""https://image.tmdb.org/t/p/w500/6ERfNyCNxGWnsTniEM8bfMk8TsL.jpg"" width=""300"">","Known for The Phoenician Scheme, A Man Called Otto, and Asteroid City"
Jean-Claude Van Damme,"<img src=""https://image.tmdb.org/t/p/w500/7DP3bm3MS0qa0L8tBLHGebbCu6H.jpg"" width=""300"">","Known for The Gardener, Kung Fu Panda 2, and Kung Fu Panda 3"
Channing Tatum,"<img src=""https://image.tmdb.org/t/p/w500/4TpgnS6l8YUXSne9Av9nda6mjxY.jpg"" width=""300"">","Known for Deadpool & Wolverine, Kingsman: The Golden Circle, and The Lego Batman Movie"
